search_keyword,product_id,title,price,status_code,status,location,registered_at,product_url
브레짜 분유,221844014,베이비브레짜 분유제조기,230000,0,판매중,장수서창동,2025-11-14 19:08:06,https://web.joongna.com/product/221844014
브레짜 분유,221769270,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,220000,3,판매완료,노은3동,2025-11-12 19:18:02,https://web.joongna.com/product/221769270
브레짜 분유,221089121,브레짜 분유제조기 팝니다,230000,3,판매완료,연수1동,2025-11-07 21:30:32,https://web.joongna.com/product/221089121
브레짜 분유,221236962,베이비브레짜 분유제조기,100000,3,판매완료,상현1동,2025-11-06 10:45:06,https://web.joongna.com/product/221236962
브레짜 분유,220734799,베이비브레짜 자동분유제조기 BRZFRP-1A,240000,3,판매완료,평동,2025-11-05 17:36:31,https://web.joongna.com/product/220734799
브레짜 분유,221292572,베이비브레짜 분유제조기 신형,200000,3,판매완료,,2025-10-30 19:49:46,https://web.joongna.com/product/221292572
브레짜 분유,220914214,베이비브레짜분유제조기,20000,3,판매완료,,2025-10-24 15:51:35,https://web.joongna.com/product/220914214
브레짜 분유,221060908,베이비브레짜 분유제조기 새상품,200000,3,판매완료,화곡제1동,2025-10-24 13:39:25,https://web.joongna.com/product/221060908
브레짜 분유,216082575,"[풀박스] 베이비브레짜 분유 제조기 + 추가 정품 물통, 깔때기",80000,3,판매완료,불광제1동,2025-10-21 01:09:38,https://web.joongna.com/product/216082575
브레짜 분유,220259835,베이비브레짜 분유제조기 새상품 판매합니다(가격내림),230000,3,판매완료,,2025-10-17 12:35:43,https://web.joongna.com/product/220259835
브레짜 분유,220729890,베이비 브레짜 자동분유제조기,69000,3,판매완료,지동,2025-10-15 14:49:22,https://web.joongna.com/product/220729890
브레짜 분유,220694312,브레짜분유제조기,35000,3,판매완료,,2025-10-14 15:47:55,https://web.joongna.com/product/220694312
브레짜 분유,220682088,베이비브레짜 분유제조기 미개봉,150000,3,판매완료,동문동,2025-10-14 10:05:49,https://web.joongna.com/product/220682088
브레짜 분유,220547623,베이비브레짜 분유메이커,35000,3,판매완료,,2025-10-10 15:40:47,https://web.joongna.com/product/220547623
브레짜 분유,220518399,분유제조기 베이비브레짜,90000,3,판매완료,금곡동,2025-10-09 18:18:05,https://web.joongna.com/product/220518399
브레짜 분유,220493871,브레짜 분유제조기 신형,120000,3,판매완료,,2025-10-08 22:49:28,https://web.joongna.com/product/220493871
브레짜 분유,220157535,베이비브레짜 화이트 분유제조기,100000,3,판매완료,창릉동,2025-09-27 20:15:01,https://web.joongna.com/product/220157535
브레짜 분유,220128080,브레짜 분유제조기,70000,3,판매완료,휘경제1동,2025-09-26 22:25:08,https://web.joongna.com/product/220128080
브레짜 분유,218470063,베이비브레짜 자동분유제조기 개봉 새상품,140000,3,판매완료,여의동,2025-09-20 21:04:57,https://web.joongna.com/product/218470063
브레짜 분유,219810509,브레짜 분유제조기 신형 프로어드밴스(25.09),250000,0,판매중,잠실본동,2025-09-20 00:30:04,https://web.joongna.com/product/219810509
브레짜 분유,219373373,브레짜 분유제조기 포뮬라 프로 어드밴스드 (정품 & 설명서 포함),60000,0,판매중,,2025-09-13 11:51:50,https://web.joongna.com/product/219373373
브레짜 분유,219154113,25년 5월 구매 미사용 브레짜 분유제조기,190000,3,판매완료,,2025-09-09 21:42:27,https://web.joongna.com/product/219154113
브레짜 분유,219068689,베이비브레짜 분유제조기 미개봉 새상품,210000,3,판매완료,,2025-09-08 16:14:21,https://web.joongna.com/product/219068689
브레짜 분유,219040254,브레짜 분유제조기,40000,3,판매완료,,2025-09-08 09:12:36,https://web.joongna.com/product/219040254
브레짜 분유,218920942,새상품 분유제조기 베이비 브레짜 분유제조기 포뮬라 프로 어드밴스드 미개봉,190000,3,판매완료,구의제1동,2025-09-06 09:41:12,https://web.joongna.com/product/218920942
브레짜 분유,218885290,브레짜 분유제조기,50000,0,판매중,,2025-09-05 16:05:46,https://web.joongna.com/product/218885290
브레짜 분유,218711500,베이비브레짜 신형 자동 분유제조기,250000,3,판매완료,,2025-09-02 21:56:32,https://web.joongna.com/product/218711500
브레짜 분유,218500598,베이비브레짜 분유제조기 25년도 구입. 깔때기 3개,99000,3,판매완료,,2025-08-30 16:02:54,https://web.joongna.com/product/218500598
