search_keyword,product_id,title,price,status_code,status,condition,location,free_shipping,num_faved,num_comment,update_time,update_timestamp,tag,category_id,product_url,description,model,model_source,detail_status
미닉스 음식물처리기,424210663,미닉스 더플렌더 Max 건조분쇄 음식물처리기 그레이지 MNFD-200G,230000,3,판매완료,중고,,True,8,0,2026-08-14 11:01:30,1786672890,미닉스 더플렌더 Max 건조분쇄 음식물처리기,610600012,https://m.bunjang.co.kr/products/424210663,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,424084897,"[DDB하남,S급] 미닉스 더플렌더 Max 건조분쇄 음식물처리기 그레이지 MNFD-200G",290000,3,판매완료,중고,,True,0,0,2026-08-13 08:29:43,1786577383,미닉스 미닉스음식물처리기 미닉스더플렌더 미닉스맥스 음식물처리기,610600012,https://m.bunjang.co.kr/products/424084897,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,423853450,미닉스 음식물 처리기,220000,3,판매완료,중고,,False,4,0,2026-08-13 08:14:11,1786576451,미닉스 미닉스음식물처리기 음식물처리기 미닉스음식물,610600012,https://m.bunjang.co.kr/products/423853450,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,423792678,미닉스 음식물 처리기,590000,3,판매완료,중고,부산광역시 연제구 연산제4동,True,0,0,2026-08-10 20:36:41,1786361801,,610600012,https://m.bunjang.co.kr/products/423792678,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,422833841,미닉스 더플렌더 Max 건조분쇄 음식물처리기 그레이지 MNFD-200G,300000,3,판매완료,중고,,True,2,0,2026-08-05 10:44:01,1785894241,미닉스 더플랜더 MAX 음식물처리기 가정용,610600012,https://m.bunjang.co.kr/products/422833841,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,422152995,미닉스 더플렌더 Max 건조분쇄 음식물처리기 가정용,300000,3,판매완료,중고,,True,1,0,2026-08-03 06:22:23,1785705743,,610600012,https://m.bunjang.co.kr/products/422152995,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,422287375,미닉스 더 플렌더 맥스 음식물처리기 그레이지,250000,3,판매완료,중고,,False,1,0,2026-07-29 16:21:28,1785309688,,610600012,https://m.bunjang.co.kr/products/422287375,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,422152890,미닉스 더 플렌더 PRO 음식물 처리기 가정용,250000,3,판매완료,중고,,True,1,0,2026-07-28 13:02:38,1785211358,,610600012,https://m.bunjang.co.kr/products/422152890,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,421741288,미닉스 음식물 처리기,90000,3,판매완료,중고,서울특별시 서초구 반포1동,False,0,0,2026-07-24 19:13:52,1784888032,,610600012,https://m.bunjang.co.kr/products/421741288,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,421584821,[음식물처리기] 미닉스 더 플렌더 PRO MNFD-120G 그레이지 판매합니다.,250000,3,판매완료,중고,서울특별시 강서구 등촌제1동,True,0,0,2026-07-23 16:31:53,1784791913,미닉스음식물처리기 더플렌더PRO 음식물처리기 건조분쇄음식물처리,610600012,https://m.bunjang.co.kr/products/421584821,,MNFD-120G,text_code,not_requested
